%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm],,,,,,
101763.683,302.238,1.173,0,-0.154,0.16,-2.378,-1.115,0.749,1.987,0.865,-0.934,-2.349,-1.391,0,-0.313,2.007,-2.23,1.989,0.523,0.311,0.226,-1.041,-0.044,-0.085,0.001,535.448,336.52,,,,,,
101763.683,302.241,1.173,0.526,0.162,-0.16,-2.702,-1.337,0.963,1.568,0.649,-1.661,-0.961,-2.033,-0.335,-0.208,1.585,-1.593,2.303,0.628,0.727,-0.563,-1.041,-0.063,-0.065,0.001,535.448,336.52,,,,,,
101755.62,302.238,1.173,0,-0.312,-0.32,-2.594,-2.229,0.749,1.777,0.541,-1.557,-1.708,-1.391,-1.005,0,1.902,-2.443,2.513,0.942,1.038,-0.563,-1.062,-0.044,-0.106,0,535.448,336.52,,,,,,
101759.651,302.236,1.173,0.082,0.004,-0.32,-2.27,-0.78,0.535,1.777,0.757,-1.453,-1.388,-1.391,0.559,-0.625,1.796,-2.549,1.57,1.047,0,-0.338,-1.052,-0.044,-0.075,0,535.448,336.52,,,,,,
101779.808,302.233,1.173,0,-0.154,0,-1.837,-1.115,0.963,0.732,0.216,-1.557,-1.815,-1.391,0.112,0.418,1.479,-2.336,2.722,-0.418,0.415,0,-1.052,-0.063,-0.096,0.001,535.448,336.52,,,,,,
101747.557,302.234,1.173,0.082,0.004,-0.64,-1.837,-1.337,0.963,1.673,-0.216,-1.245,-1.175,-2.14,-0.67,-0.208,2.113,-2.655,2.199,0.733,-0.518,-0.338,-1.072,-0.063,-0.065,0.001,535.448,336.52,,,,,,
101755.62,302.234,1.173,0,-0.075,0,-2.054,-0.892,0.749,1.568,0.649,-2.387,-1.708,-1.819,-0.446,-0.313,2.007,-1.912,2.303,0.628,0.623,-1.013,-1.031,-0.063,-0.085,0,535.448,336.52,,,,,,
101751.588,302.236,1.173,0,-0.154,-0.16,-2.054,-0.557,1.284,1.777,0.433,-1.453,-2.136,-1.284,0.447,-0.521,2.43,-2.549,2.513,0.942,-0.104,0,-1.062,-0.044,-0.096,0.001,535.448,336.52,,,,,,
101763.683,302.236,1.173,0,-0.154,-0.32,-3.026,-1.449,1.177,1.568,-0.324,-1.764,-1.281,-1.926,-0.558,-0.313,1.796,-1.912,2.408,0.733,0.208,-0.225,-1.041,-0.044,-0.075,0,535.448,336.52,,,,,,
101751.588,302.234,1.173,0.082,0.004,-0.48,-1.621,-1.672,0.856,1.987,-0.216,-1.557,-1.068,-1.284,-0.223,0,2.536,-2.867,2.722,0.942,0.934,0.226,-1.041,-0.063,-0.096,0,535.448,336.52,,,,,,
101763.683,302.239,1.173,0.376,0.083,-0.16,-1.837,-0.78,0.428,1.673,0.541,-1.972,-1.175,-1.819,0.447,0.104,2.007,-2.23,1.78,0.942,0.208,-0.113,-1.041,-0.025,-0.096,0.001,535.448,336.52,,,,,,
101767.714,302.238,1.173,0,-0.075,0.16,-1.729,-1.003,1.499,1.255,0.108,-1.349,-1.922,-1.284,0.112,0.522,2.007,-2.549,2.617,0.419,0.727,-0.45,-1.041,-0.044,-0.096,0.001,535.448,336.52,,,,,,
101759.651,302.23,1.173,0.376,0.083,-0.32,-2.162,-1.449,1.07,2.091,0,-1.245,-1.068,-2.14,0.783,0.522,2.113,-2.018,2.303,1.151,0.104,0,-1.041,-0.063,-0.085,0.001,535.448,336.52,,,,,,
101755.62,302.234,1.173,0,-0.154,-0.48,-1.945,-1.56,0.856,1.882,1.298,-2.18,-1.175,-1.712,-0.335,0,1.796,-1.912,2.303,0.419,0.727,-0.788,-1.031,-0.063,-0.096,0,535.448,336.52,,,,,,
101751.588,302.238,1.173,0,-0.075,-0.64,-2.054,-1.115,0.535,1.673,0.216,-1.349,-1.281,-1.391,0.336,-0.834,2.113,-1.699,2.932,0.733,0.519,-0.113,-1.041,-0.044,-0.096,0,535.448,336.52,,,,,,
101743.525,302.238,1.173,0,-0.233,-0.48,-2.81,-1.226,1.606,1.673,0.757,-1.453,-0.961,-2.033,-0.335,0.626,1.373,-1.912,2.408,0.209,0.727,0.226,-1.062,-0.044,-0.096,0.001,535.448,336.52,,,,,,
101751.588,302.234,1.173,0,-0.154,-0.48,-1.837,-1.783,0.749,1.568,-0.324,-1.142,-0.961,-1.391,0,0.731,2.324,-2.549,3.036,0.523,0.831,-0.225,-1.041,-0.063,-0.096,0.001,535.448,336.52,,,,,,
101731.431,302.234,1.173,0,-0.075,-0.32,-1.621,-1.226,0.749,2.196,1.081,-2.283,-1.175,-1.605,0.671,0,2.007,-2.018,2.199,0.733,0,-0.45,-1.041,-0.044,-0.106,0,535.448,336.52,,,,,,
101747.557,302.238,1.173,0,-0.233,-0.48,-1.729,-1.337,1.392,1.673,0.649,-1.868,-1.922,-1.712,0.559,-0.104,2.007,-1.699,2.932,0.733,0.208,0.113,-1.041,-0.025,-0.075,0,535.448,336.52,,,,,,
101731.431,302.234,1.173,0,-0.233,-0.16,-1.837,-1.449,0.963,2.196,-0.108,-1.453,-1.602,-1.926,-0.112,-0.313,2.113,-2.549,2.303,0.837,0,-0.675,0,-0.063,-0.025,0.001,535.448,336.52,,,,,,
101739.494,302.23,1.173,0,-0.47,-0.16,-1.945,-0.892,1.07,1.673,0.973,-2.076,-0.747,-1.605,0.224,-0.417,2.324,-1.699,2.199,0.733,0.208,-0.675,0.01,-0.083,-0.014,0,535.448,336.52,,,,,,
101735.462,302.231,1.173,0,-0.312,0,-2.054,-0.78,1.07,1.777,0,-1.142,-1.922,-2.14,-0.112,-0.208,1.69,-2.124,2.932,0.837,0.727,0,0.031,-0.044,-0.014,0.001,535.448,336.52,,,,,,
101727.399,302.231,1.173,0,-0.391,0.16,-2.594,-0.78,1.07,1.777,0,-1.349,-1.388,-2.247,0.112,0.104,1.479,-2.23,2.303,0.733,0.104,-0.225,-0.01,-0.044,-0.025,0.001,535.448,336.52,,,,,,
101723.368,302.234,1.173,0,-0.233,0.16,-1.621,-2.006,1.177,1.882,0.216,-1.245,-0.641,-1.712,0.336,0.522,2.113,-2.443,2.617,0.942,1.038,-0.45,0,-0.063,-0.025,0,535.448,336.52,,,,,,
101735.462,302.233,1.173,0,-0.154,0,-2.054,-0.78,0,1.777,0.433,-1.868,-1.602,-1.605,0,-0.313,1.69,-2.124,1.57,0.837,0.519,-0.45,0.01,-0.083,-0.014,0,535.448,336.52,,,,,,
101735.462,302.234,1.173,0.082,0.004,0,-1.945,-1.115,1.177,0.732,0.216,-1.245,-1.602,-1.712,-0.112,0.626,1.585,-1.805,2.932,0.209,0.104,0.113,0.021,-0.063,0.006,0.001,535.448,336.52,,,,,,
101743.525,302.234,1.173,0,-0.075,0,-2.27,-1.337,1.07,2.405,-0.216,-1.245,-1.602,-2.14,-0.335,0.104,2.007,-2.124,2.408,0.942,-0.518,0.113,0.042,-0.063,-0.014,0,535.448,336.52,,,,,,
